creator,count
Francesco Orsini,24
Giuseppina Pennisi,18
Gianluca Palli,16
Giorgio Gianquinto,15
Antonio Maria D'Altri,11
Alessio Caporali,10
Domenico Ventrella,9
Kevin Galassi,9
Luca Evangelisti,9
Adriana Iezzi,8
Alberto Elmi,8
Andrea Versari,8
Arianna Ricci,8
Elisa Appolloni,8
Andrea Gianotti,7
Assimo Maris,7
Augusta Zannoni,7
Diego Bucci,7
Giuseppina Paola Parpinello,7
Lorenzo Nissen,7
Marcella Spinaci,7
Stefano de Miranda,7
Alessandro Fracassa,6
Giovanni Castellazzi,6
Ivan Paucek,6
Maria Laura Bacci,6
Roberto Meattini,6
Vito Aurelio Cerasola,6
Yogesh Kumar,6
Alessandra Bendini,5
Alessandro Pistillo,5
Andrea Balboni,5
Beatrice Vitali,5
Chiara Bernardini,5
Elisa Antonietta Daniele,5
Flavia Casciano,5
Mara Battilani,5
Monica Forni,5
Sonia Melandri,5
Tullia Gallina Toschi,5
Vito Antonio Baldassarro,5
Alessia Franchini,4
Andrea Crepaldi,4
Barbara Luppi,4
Barbara van Doosselaere,4
Carola Parolin,4
Claudio Ignazio Santo,4
Claudio Minca,4
Davide Chiaravalli,4
Elena Baldi,4
