count,_id.year,subject,macro_sector
7,2019,M-PED-03,M
6,2018,M-PSI-05,M
5,2019,M-PSI-05,M
4,2019,SECS-P-02,SECS
3,2019,SH3_10,SH3_10
3,2019,AGR-15,AGR
2,2019,SECS-S-05,SECS
2,2018,ING-IND-25,ING
2,2019,SECS-S-03,SECS
2,2017,AGR-15,AGR
1,2017,SH3_10,SH3_10
1,2017,other,L
1,2019,other,ING
1,2017,other,M
1,2019,other,SECS
1,2017,SECS-S-03,SECS
1,2018,other,L
1,2019,other,other
1,2019,other,other
1,2019,SECS-P-07,SECS
1,2019,ING-IND-25,ING
1,2017,SECS-P-07,SECS
1,2019,other,L
1,2019,other,other
1,2019,other,other
1,2019,other,other
1,2017,other,other
1,2019,other,other
1,2019,other,SPS
1,2017,M-PSI-05,M
1,2019,other,SECS
1,2017,other,other
1,2017,SECS-P-02,SECS
1,2019,other,AGR
1,2019,other,SPS
